mip_era,activity_id,institution_id,source_id,experiment_id,member_id,table_id,grid_label,version,frequency,instance_id,realm,variable_id
CMIP6,CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,6hrLev,gn,20201112,6hrPt,CMIP6.CMIP.AS-RCEC.TaiESM1.historical.r1i1p1f1.6hrLev.hus.gn.v20201112,atmos,hus
CMIP6,CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,6hrPlevPt,gn,20201112,6hrPt,CMIP6.CMIP.AS-RCEC.TaiESM1.historical.r1i1p1f1.6hrPlevPt.hus.gn.v20201112,atmos,hus
CMIP6,CMIP,AWI,AWI-ESM-1-1-LR,historical,r1i1p1f1,6hrLev,gn,20200212,6hrPt,CMIP6.CMIP.AWI.AWI-ESM-1-1-LR.historical.r1i1p1f1.6hrLev.hus.gn.v20200212,atmos,hus
CMIP6,CMIP,AWI,AWI-ESM-1-1-LR,historical,r1i1p1f1,6hrPlevPt,gn,20200212,6hrPt,CMIP6.CMIP.AWI.AWI-ESM-1-1-LR.historical.r1i1p1f1.6hrPlevPt.hus.gn.v20200212,atmos,hus
CMIP6,CMIP,AWI,AWI-ESM-1-1-LR,historical,r1i1p1f1,E3hrPt,gn,20200212,3hrPt,CMIP6.CMIP.AWI.AWI-ESM-1-1-LR.historical.r1i1p1f1.E3hrPt.hus.gn.v20200212,atmos,hus
CMIP6,CMIP,BCC,BCC-CSM2-MR,historical,r1i1p1f1,6hrLev,gn,20181203,6hrPt,CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.6hrLev.hus.gn.v20181203,atmos,hus
CMIP6,CMIP,BCC,BCC-CSM2-MR,historical,r1i1p1f1,6hrLev,gn,20190125,6hrPt,CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.6hrLev.hus.gn.v20190125,atmos,hus
CMIP6,CMIP,BCC,BCC-CSM2-MR,historical,r1i1p1f1,6hrLev,gn,20190128,6hrPt,CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.6hrLev.hus.gn.v20190128,atmos,hus
CMIP6,CMIP,BCC,BCC-CSM2-MR,historical,r1i1p1f1,6hrLev,gn,20190129,6hrPt,CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.6hrLev.hus.gn.v20190129,atmos,hus
CMIP6,CMIP,CAS,FGOALS-f3-L,historical,r1i1p1f1,6hrLev,gr,20200422,6hrPt,CMIP6.CMIP.CAS.FGOALS-f3-L.historical.r1i1p1f1.6hrLev.hus.gr.v20200422,atmos,hus
CMIP6,CMIP,CAS,FGOALS-g3,historical,r1i1p1f1,6hrLev,gn,20190826,6hrPt,CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.6hrLev.hus.gn.v20190826,atmos,hus
CMIP6,CMIP,CAS,FGOALS-g3,historical,r3i1p1f1,6hrLev,gn,20190827,6hrPt,CMIP6.CMIP.CAS.FGOALS-g3.historical.r3i1p1f1.6hrLev.hus.gn.v20190827,atmos,hus
CMIP6,CMIP,CAS,FGOALS-g3,historical,r4i1p1f1,6hrLev,gn,20191030,6hrPt,CMIP6.CMIP.CAS.FGOALS-g3.historical.r4i1p1f1.6hrLev.hus.gn.v20191030,atmos,hus
CMIP6,CMIP,CAS,FGOALS-g3,historical,r5i1p1f1,6hrLev,gn,20200412,6hrPt,CMIP6.CMIP.CAS.FGOALS-g3.historical.r5i1p1f1.6hrLev.hus.gn.v20200412,atmos,hus
CMIP6,CMIP,CAS,FGOALS-g3,historical,r6i1p1f1,6hrLev,gn,20200412,6hrPt,CMIP6.CMIP.CAS.FGOALS-g3.historical.r6i1p1f1.6hrLev.hus.gn.v20200412,atmos,hus
CMIP6,CMIP,CCCma,CanESM5,historical,r1i1p2f1,6hrLev,gn,20190429,6hrPt,CMIP6.CMIP.CCCma.CanESM5.historical.r1i1p2f1.6hrLev.hus.gn.v20190429,atmos,hus
CMIP6,CMIP,CCCma,CanESM5,historical,r2i1p2f1,6hrLev,gn,20190429,6hrPt,CMIP6.CMIP.CCCma.CanESM5.historical.r2i1p2f1.6hrLev.hus.gn.v20190429,atmos,hus
CMIP6,CMIP,CCCma,CanESM5,historical,r3i1p2f1,6hrLev,gn,20190429,6hrPt,CMIP6.CMIP.CCCma.CanESM5.historical.r3i1p2f1.6hrLev.hus.gn.v20190429,atmos,hus
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r1i1p1f1,6hrLev,gn,20200616,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r1i1p1f1.6hrLev.hus.gn.v20200616,atmos,hus
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r2i1p2f1,6hrLev,gn,20211109,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r2i1p2f1.6hrLev.hus.gn.v20211109,atmos,hus
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r3i1p2f1,6hrLev,gn,20211108,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r3i1p2f1.6hrLev.hus.gn.v20211108,atmos,hus
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r4i1p2f1,6hrLev,gn,20220112,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r4i1p2f1.6hrLev.hus.gn.v20220112,atmos,hus
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r5i1p2f1,6hrLev,gn,20220112,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r5i1p2f1.6hrLev.hus.gn.v20220112,atmos,hus
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r6i1p2f1,6hrLev,gn,20220112,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r6i1p2f1.6hrLev.hus.gn.v20220112,atmos,hus
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r7i1p2f1,6hrLev,gn,20220112,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r7i1p2f1.6hrLev.hus.gn.v20220112,atmos,hus
CMIP6,CMIP,CMCC,CMCC-ESM2,historical,r1i1p1f1,6hrLev,gn,20210114,6hrPt,CMIP6.CMIP.CMCC.CMCC-ESM2.historical.r1i1p1f1.6hrLev.hus.gn.v20210114,atmos,hus
CMIP6,CMIP,CNRM-CERFACS,CNRM-CM6-1,historical,r1i1p1f2,6hrLev,gr,20180917,6hrPt,CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical.r1i1p1f2.6hrLev.hus.gr.v20180917,atmos,hus
CMIP6,CMIP,CNRM-CERFACS,CNRM-CM6-1,historical,r1i1p1f2,6hrPlevPt,gr,20180917,6hrPt,CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical.r1i1p1f2.6hrPlevPt.hus.gr.v20180917,atmos,hus
CMIP6,CMIP,CNRM-CERFACS,CNRM-CM6-1,historical,r2i1p1f2,6hrLev,gr,20181126,6hrPt,CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical.r2i1p1f2.6hrLev.hus.gr.v20181126,atmos,hus
CMIP6,CMIP,CNRM-CERFACS,CNRM-CM6-1,historical,r2i1p1f2,6hrPlevPt,gr,20181126,6hrPt,CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical.r2i1p1f2.6hrPlevPt.hus.gr.v20181126,atmos,hus
CMIP6,CMIP,CNRM-CERFACS,CNRM-CM6-1,historical,r3i1p1f2,6hrLev,gr,20190125,6hrPt,CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical.r3i1p1f2.6hrLev.hus.gr.v20190125,atmos,hus
CMIP6,CMIP,CNRM-CERFACS,CNRM-CM6-1,historical,r3i1p1f2,6hrPlevPt,gr,20190125,6hrPt,CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical.r3i1p1f2.6hrPlevPt.hus.gr.v20190125,atmos,hus
CMIP6,CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,historical,r1i1p1f2,6hrLev,gr,20191021,6hrPt,CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1-HR.historical.r1i1p1f2.6hrLev.hus.gr.v20191021,atmos,hus
CMIP6,CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,gr,20191021,6hrPt,CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1-HR.historical.r1i1p1f2.6hrPlevPt.hus.gr.v20191021,atmos,hus
CMIP6,CMIP,CNRM-CERFACS,CNRM-ESM2-1,historical,r1i1p1f2,6hrLev,gr,20181206,6hrPt,CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r1i1p1f2.6hrLev.hus.gr.v20181206,atmos,hus
