mip_era,activity_id,institution_id,source_id,experiment_id,member_id,table_id,grid_label,version,frequency,instance_id,realm,variable_id
CMIP6,CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,6hrLev,gn,20201112,6hrPt,CMIP6.CMIP.AS-RCEC.TaiESM1.historical.r1i1p1f1.6hrLev.ua.gn.v20201112,atmos,ua
CMIP6,CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,6hrPlevPt,gn,20201112,6hrPt,CMIP6.CMIP.AS-RCEC.TaiESM1.historical.r1i1p1f1.6hrPlevPt.ua.gn.v20201112,atmos,ua
CMIP6,CMIP,AWI,AWI-ESM-1-1-LR,historical,r1i1p1f1,6hrLev,gn,20200212,6hrPt,CMIP6.CMIP.AWI.AWI-ESM-1-1-LR.historical.r1i1p1f1.6hrLev.ua.gn.v20200212,atmos,ua
CMIP6,CMIP,AWI,AWI-ESM-1-1-LR,historical,r1i1p1f1,6hrPlevPt,gn,20200212,6hrPt,CMIP6.CMIP.AWI.AWI-ESM-1-1-LR.historical.r1i1p1f1.6hrPlevPt.ua.gn.v20200212,atmos,ua
CMIP6,CMIP,AWI,AWI-ESM-1-1-LR,historical,r1i1p1f1,E3hrPt,gn,20200212,3hrPt,CMIP6.CMIP.AWI.AWI-ESM-1-1-LR.historical.r1i1p1f1.E3hrPt.ua.gn.v20200212,atmos,ua
CMIP6,CMIP,BCC,BCC-CSM2-MR,historical,r1i1p1f1,6hrLev,gn,20181129,6hrPt,CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.6hrLev.ua.gn.v20181129,atmos,ua
CMIP6,CMIP,BCC,BCC-CSM2-MR,historical,r1i1p1f1,6hrLev,gn,20181130,6hrPt,CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.6hrLev.ua.gn.v20181130,atmos,ua
CMIP6,CMIP,BCC,BCC-CSM2-MR,historical,r1i1p1f1,6hrPlevPt,gn,20181127,6hrPt,CMIP6.CMIP.BCC.BCC-CSM2-MR.historical.r1i1p1f1.6hrPlevPt.ua.gn.v20181127,atmos,ua
CMIP6,CMIP,CAS,FGOALS-f3-L,historical,r1i1p1f1,6hrLev,gr,20200422,6hrPt,CMIP6.CMIP.CAS.FGOALS-f3-L.historical.r1i1p1f1.6hrLev.ua.gr.v20200422,atmos,ua
CMIP6,CMIP,CAS,FGOALS-f3-L,historical,r1i1p1f1,6hrPlevPt,gr,20200420,6hrPt,CMIP6.CMIP.CAS.FGOALS-f3-L.historical.r1i1p1f1.6hrPlevPt.ua.gr.v20200420,atmos,ua
CMIP6,CMIP,CAS,FGOALS-g3,historical,r1i1p1f1,6hrLev,gn,20190826,6hrPt,CMIP6.CMIP.CAS.FGOALS-g3.historical.r1i1p1f1.6hrLev.ua.gn.v20190826,atmos,ua
CMIP6,CMIP,CAS,FGOALS-g3,historical,r3i1p1f1,6hrLev,gn,20190827,6hrPt,CMIP6.CMIP.CAS.FGOALS-g3.historical.r3i1p1f1.6hrLev.ua.gn.v20190827,atmos,ua
CMIP6,CMIP,CAS,FGOALS-g3,historical,r4i1p1f1,6hrLev,gn,20191031,6hrPt,CMIP6.CMIP.CAS.FGOALS-g3.historical.r4i1p1f1.6hrLev.ua.gn.v20191031,atmos,ua
CMIP6,CMIP,CAS,FGOALS-g3,historical,r5i1p1f1,6hrLev,gn,20200413,6hrPt,CMIP6.CMIP.CAS.FGOALS-g3.historical.r5i1p1f1.6hrLev.ua.gn.v20200413,atmos,ua
CMIP6,CMIP,CAS,FGOALS-g3,historical,r6i1p1f1,6hrLev,gn,20200413,6hrPt,CMIP6.CMIP.CAS.FGOALS-g3.historical.r6i1p1f1.6hrLev.ua.gn.v20200413,atmos,ua
CMIP6,CMIP,CCCma,CanESM5,historical,r1i1p2f1,6hrLev,gn,20190429,6hrPt,CMIP6.CMIP.CCCma.CanESM5.historical.r1i1p2f1.6hrLev.ua.gn.v20190429,atmos,ua
CMIP6,CMIP,CCCma,CanESM5,historical,r2i1p2f1,6hrLev,gn,20190429,6hrPt,CMIP6.CMIP.CCCma.CanESM5.historical.r2i1p2f1.6hrLev.ua.gn.v20190429,atmos,ua
CMIP6,CMIP,CCCma,CanESM5,historical,r3i1p2f1,6hrLev,gn,20190429,6hrPt,CMIP6.CMIP.CCCma.CanESM5.historical.r3i1p2f1.6hrLev.ua.gn.v20190429,atmos,ua
CMIP6,CMIP,CMCC,CMCC-CM2-HR4,historical,r1i1p1f1,6hrLev,gn,20200904,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-HR4.historical.r1i1p1f1.6hrLev.ua.gn.v20200904,atmos,ua
CMIP6,CMIP,CMCC,CMCC-CM2-HR4,historical,r1i1p1f1,6hrPlevPt,gn,20200904,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-HR4.historical.r1i1p1f1.6hrPlevPt.ua.gn.v20200904,atmos,ua
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r1i1p1f1,6hrLev,gn,20200616,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r1i1p1f1.6hrLev.ua.gn.v20200616,atmos,ua
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r1i1p1f1,6hrPlevPt,gn,20200616,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r1i1p1f1.6hrPlevPt.ua.gn.v20200616,atmos,ua
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r2i1p2f1,6hrLev,gn,20211109,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r2i1p2f1.6hrLev.ua.gn.v20211109,atmos,ua
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r2i1p2f1,6hrPlevPt,gn,20211109,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r2i1p2f1.6hrPlevPt.ua.gn.v20211109,atmos,ua
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r3i1p2f1,6hrLev,gn,20211108,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r3i1p2f1.6hrLev.ua.gn.v20211108,atmos,ua
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r3i1p2f1,6hrPlevPt,gn,20211108,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r3i1p2f1.6hrPlevPt.ua.gn.v20211108,atmos,ua
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r4i1p2f1,6hrLev,gn,20220112,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r4i1p2f1.6hrLev.ua.gn.v20220112,atmos,ua
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r4i1p2f1,6hrPlevPt,gn,20220112,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r4i1p2f1.6hrPlevPt.ua.gn.v20220112,atmos,ua
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r5i1p2f1,6hrLev,gn,20220112,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r5i1p2f1.6hrLev.ua.gn.v20220112,atmos,ua
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r5i1p2f1,6hrPlevPt,gn,20220112,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r5i1p2f1.6hrPlevPt.ua.gn.v20220112,atmos,ua
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r6i1p2f1,6hrLev,gn,20220112,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r6i1p2f1.6hrLev.ua.gn.v20220112,atmos,ua
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r6i1p2f1,6hrPlevPt,gn,20220112,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r6i1p2f1.6hrPlevPt.ua.gn.v20220112,atmos,ua
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r7i1p2f1,6hrLev,gn,20220112,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r7i1p2f1.6hrLev.ua.gn.v20220112,atmos,ua
CMIP6,CMIP,CMCC,CMCC-CM2-SR5,historical,r7i1p2f1,6hrPlevPt,gn,20220112,6hrPt,CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical.r7i1p2f1.6hrPlevPt.ua.gn.v20220112,atmos,ua
CMIP6,CMIP,CMCC,CMCC-ESM2,historical,r1i1p1f1,6hrLev,gn,20210114,6hrPt,CMIP6.CMIP.CMCC.CMCC-ESM2.historical.r1i1p1f1.6hrLev.ua.gn.v20210114,atmos,ua
CMIP6,CMIP,CMCC,CMCC-ESM2,historical,r1i1p1f1,6hrPlevPt,gn,20210114,6hrPt,CMIP6.CMIP.CMCC.CMCC-ESM2.historical.r1i1p1f1.6hrPlevPt.ua.gn.v20210114,atmos,ua
CMIP6,CMIP,CNRM-CERFACS,CNRM-CM6-1,historical,r1i1p1f2,6hrLev,gr,20180917,6hrPt,CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical.r1i1p1f2.6hrLev.ua.gr.v20180917,atmos,ua
CMIP6,CMIP,CNRM-CERFACS,CNRM-CM6-1,historical,r2i1p1f2,6hrLev,gr,20181126,6hrPt,CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical.r2i1p1f2.6hrLev.ua.gr.v20181126,atmos,ua
CMIP6,CMIP,CNRM-CERFACS,CNRM-CM6-1,historical,r3i1p1f2,6hrLev,gr,20190125,6hrPt,CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical.r3i1p1f2.6hrLev.ua.gr.v20190125,atmos,ua
CMIP6,CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,historical,r1i1p1f2,6hrLev,gr,20191021,6hrPt,CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1-HR.historical.r1i1p1f2.6hrLev.ua.gr.v20191021,atmos,ua
CMIP6,CMIP,CNRM-CERFACS,CNRM-CM6-1-HR,historical,r1i1p1f2,6hrPlevPt,gr,20191021,6hrPt,CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1-HR.historical.r1i1p1f2.6hrPlevPt.ua.gr.v20191021,atmos,ua
CMIP6,CMIP,CNRM-CERFACS,CNRM-ESM2-1,historical,r1i1p1f2,6hrLev,gr,20181206,6hrPt,CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical.r1i1p1f2.6hrLev.ua.gr.v20181206,atmos,ua
CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r10i1p1f1,6hrLev,gn,20200605,6hrPt,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r10i1p1f1.6hrLev.ua.gn.v20200605,atmos,ua
CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r10i1p1f1,6hrPlevPt,gn,20200605,6hrPt,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r10i1p1f1.6hrPlevPt.ua.gn.v20200605,atmos,ua
CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r1i1p1f1,6hrLev,gn,20191115,6hrPt,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r1i1p1f1.6hrLev.ua.gn.v20191115,atmos,ua
CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r1i1p1f1,6hrPlevPt,gn,20191115,6hrPt,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r1i1p1f1.6hrPlevPt.ua.gn.v20191115,atmos,ua
CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r2i1p1f1,6hrLev,gn,20191128,6hrPt,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r2i1p1f1.6hrLev.ua.gn.v20191128,atmos,ua
CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r2i1p1f1,6hrPlevPt,gn,20191128,6hrPt,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r2i1p1f1.6hrPlevPt.ua.gn.v20191128,atmos,ua
CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r3i1p1f1,6hrLev,gn,20191203,6hrPt,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r3i1p1f1.6hrLev.ua.gn.v20191203,atmos,ua
CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r3i1p1f1,6hrPlevPt,gn,20191203,6hrPt,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r3i1p1f1.6hrPlevPt.ua.gn.v20191203,atmos,ua
CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r4i1p1f1,6hrLev,gn,20200529,6hrPt,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r4i1p1f1.6hrLev.ua.gn.v20200529,atmos,ua
CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r4i1p1f1,6hrPlevPt,gn,20200529,6hrPt,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r4i1p1f1.6hrPlevPt.ua.gn.v20200529,atmos,ua
CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r5i1p1f1,6hrLev,gn,20200601,6hrPt,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r5i1p1f1.6hrLev.ua.gn.v20200601,atmos,ua
CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r5i1p1f1,6hrPlevPt,gn,20200601,6hrPt,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r5i1p1f1.6hrPlevPt.ua.gn.v20200601,atmos,ua
CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r6i1p1f1,6hrLev,gn,20200529,6hrPt,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r6i1p1f1.6hrLev.ua.gn.v20200529,atmos,ua
CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r6i1p1f1,6hrPlevPt,gn,20200529,6hrPt,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r6i1p1f1.6hrPlevPt.ua.gn.v20200529,atmos,ua
CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r7i1p1f1,6hrLev,gn,20200529,6hrPt,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r7i1p1f1.6hrLev.ua.gn.v20200529,atmos,ua
CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r7i1p1f1,6hrPlevPt,gn,20200529,6hrPt,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r7i1p1f1.6hrPlevPt.ua.gn.v20200529,atmos,ua
CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r8i1p1f1,6hrLev,gn,20200529,6hrPt,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r8i1p1f1.6hrLev.ua.gn.v20200529,atmos,ua
CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r8i1p1f1,6hrPlevPt,gn,20200529,6hrPt,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r8i1p1f1.6hrPlevPt.ua.gn.v20200529,atmos,ua
CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r9i1p1f1,6hrLev,gn,20200529,6hrPt,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r9i1p1f1.6hrLev.ua.gn.v20200529,atmos,ua
CMIP6,CMIP,CSIRO,ACCESS-ESM1-5,historical,r9i1p1f1,6hrPlevPt,gn,20200529,6hrPt,CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r9i1p1f1.6hrPlevPt.ua.gn.v20200529,atmos,ua
CMIP6,CMIP,CSIRO-ARCCSS,ACCESS-CM2,historical,r1i1p1f1,6hrLev,gn,20191108,6hrPt,CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical.r1i1p1f1.6hrLev.ua.gn.v20191108,atmos,ua
CMIP6,CMIP,CSIRO-ARCCSS,ACCESS-CM2,historical,r1i1p1f1,6hrPlevPt,gn,20191108,6hrPt,CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical.r1i1p1f1.6hrPlevPt.ua.gn.v20191108,atmos,ua
CMIP6,CMIP,CSIRO-ARCCSS,ACCESS-CM2,historical,r4i1p1f1,6hrLev,gn,20210921,6hrPt,CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical.r4i1p1f1.6hrLev.ua.gn.v20210921,atmos,ua
CMIP6,CMIP,CSIRO-ARCCSS,ACCESS-CM2,historical,r4i1p1f1,6hrPlevPt,gn,20210607,6hrPt,CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical.r4i1p1f1.6hrPlevPt.ua.gn.v20210607,atmos,ua
CMIP6,CMIP,CSIRO-ARCCSS,ACCESS-CM2,historical,r5i1p1f1,6hrLev,gn,20210921,6hrPt,CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical.r5i1p1f1.6hrLev.ua.gn.v20210921,atmos,ua
CMIP6,CMIP,CSIRO-ARCCSS,ACCESS-CM2,historical,r5i1p1f1,6hrPlevPt,gn,20210607,6hrPt,CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical.r5i1p1f1.6hrPlevPt.ua.gn.v20210607,atmos,ua
CMIP6,CMIP,EC-Earth-Consortium,EC-Earth3,historical,r10i1p1f1,6hrPlevPt,gr,20201221,6hrPt,CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical.r10i1p1f1.6hrPlevPt.ua.gr.v20201221,atmos,ua
CMIP6,CMIP,EC-Earth-Consortium,EC-Earth3,historical,r11i1p1f1,6hrPlevPt,gr,20190710,6hrPt,CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical.r11i1p1f1.6hrPlevPt.ua.gr.v20190710,atmos,ua
CMIP6,CMIP,EC-Earth-Consortium,EC-Earth3,historical,r11i1p1f1,6hrPlevPt,gr,20200201,6hrPt,CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical.r11i1p1f1.6hrPlevPt.ua.gr.v20200201,atmos,ua
CMIP6,CMIP,EC-Earth-Consortium,EC-Earth3,historical,r12i1p1f1,6hrPlevPt,gr,20201230,6hrPt,CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical.r12i1p1f1.6hrPlevPt.ua.gr.v20201230,atmos,ua
CMIP6,CMIP,EC-Earth-Consortium,EC-Earth3,historical,r13i1p1f1,6hrPlevPt,gr,20190710,6hrPt,CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical.r13i1p1f1.6hrPlevPt.ua.gr.v20190710,atmos,ua
CMIP6,CMIP,EC-Earth-Consortium,EC-Earth3,historical,r13i1p1f1,6hrPlevPt,gr,20200201,6hrPt,CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical.r13i1p1f1.6hrPlevPt.ua.gr.v20200201,atmos,ua
