mip_era,activity_id,institution_id,source_id,experiment_id,member_id,table_id,grid_label,version,frequency,instance_id,realm,variable_id
CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r1i1p1f1,3hr,gn,20181218,3hrPt,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r1i1p1f1.3hr.tos.gn.v20181218,ocean,tos
CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r1i1p1f1,Oday,gn,20181218,day,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r1i1p1f1.Oday.tos.gn.v20181218,ocean,tos
CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r2i1p1f1,3hr,gn,20181218,3hrPt,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r2i1p1f1.3hr.tos.gn.v20181218,ocean,tos
CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r2i1p1f1,Oday,gn,20181218,day,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r2i1p1f1.Oday.tos.gn.v20181218,ocean,tos
CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r3i1p1f1,3hr,gn,20181218,3hrPt,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r3i1p1f1.3hr.tos.gn.v20181218,ocean,tos
CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r3i1p1f1,Oday,gn,20181218,day,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r3i1p1f1.Oday.tos.gn.v20181218,ocean,tos
CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r4i1p1f1,3hr,gn,20181218,3hrPt,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r4i1p1f1.3hr.tos.gn.v20181218,ocean,tos
CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r4i1p1f1,Oday,gn,20181218,day,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r4i1p1f1.Oday.tos.gn.v20181218,ocean,tos
CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r5i1p1f1,3hr,gn,20181218,3hrPt,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r5i1p1f1.3hr.tos.gn.v20181218,ocean,tos
CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r5i1p1f1,Oday,gn,20181218,day,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r5i1p1f1.Oday.tos.gn.v20181218,ocean,tos
