mip_era,activity_id,institution_id,source_id,experiment_id,member_id,table_id,grid_label,version,frequency,instance_id,realm,variable_id
CMIP6,CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,6hrPlevPt,gn,20201112,6hrPt,CMIP6.CMIP.AS-RCEC.TaiESM1.historical.r1i1p1f1.6hrPlevPt.tas.gn.v20201112,atmos,tas
CMIP6,CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,6hrPlevPt,gn,20201112,6hrPt,CMIP6.CMIP.AS-RCEC.TaiESM1.historical.r1i1p1f1.6hrPlevPt.ts.gn.v20201112,atmos,ts
CMIP6,CMIP,AS-RCEC,TaiESM1,historical,r1i1p1f1,day,gn,20200626,day,CMIP6.CMIP.AS-RCEC.TaiESM1.historical.r1i1p1f1.day.tas.gn.v20200626,atmos,tas
CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r1i1p1f1,3hr,gn,20181218,3hrPt,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r1i1p1f1.3hr.tas.gn.v20181218,atmos,tas
CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r1i1p1f1,day,gn,20181218,day,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r1i1p1f1.day.tas.gn.v20181218,atmos,tas
CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r2i1p1f1,3hr,gn,20181218,3hrPt,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r2i1p1f1.3hr.tas.gn.v20181218,atmos,tas
CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r2i1p1f1,day,gn,20181218,day,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r2i1p1f1.day.tas.gn.v20181218,atmos,tas
CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r3i1p1f1,3hr,gn,20181218,3hrPt,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r3i1p1f1.3hr.tas.gn.v20181218,atmos,tas
CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r3i1p1f1,day,gn,20181218,day,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r3i1p1f1.day.tas.gn.v20181218,atmos,tas
CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r4i1p1f1,3hr,gn,20181218,3hrPt,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r4i1p1f1.3hr.tas.gn.v20181218,atmos,tas
CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r4i1p1f1,day,gn,20181218,day,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r4i1p1f1.day.tas.gn.v20181218,atmos,tas
CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r5i1p1f1,3hr,gn,20181218,3hrPt,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r5i1p1f1.3hr.tas.gn.v20181218,atmos,tas
CMIP6,CMIP,AWI,AWI-CM-1-1-MR,historical,r5i1p1f1,day,gn,20181218,day,CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical.r5i1p1f1.day.tas.gn.v20181218,atmos,tas
CMIP6,CMIP,AWI,AWI-ESM-1-1-LR,historical,r1i1p1f1,3hr,gn,20200212,3hrPt,CMIP6.CMIP.AWI.AWI-ESM-1-1-LR.historical.r1i1p1f1.3hr.tas.gn.v20200212,atmos,tas
CMIP6,CMIP,AWI,AWI-ESM-1-1-LR,historical,r1i1p1f1,6hrPlevPt,gn,20200212,6hrPt,CMIP6.CMIP.AWI.AWI-ESM-1-1-LR.historical.r1i1p1f1.6hrPlevPt.tas.gn.v20200212,atmos,tas
CMIP6,CMIP,AWI,AWI-ESM-1-1-LR,historical,r1i1p1f1,6hrPlevPt,gn,20200212,6hrPt,CMIP6.CMIP.AWI.AWI-ESM-1-1-LR.historical.r1i1p1f1.6hrPlevPt.ts.gn.v20200212,atmos,ts
CMIP6,CMIP,AWI,AWI-ESM-1-1-LR,historical,r1i1p1f1,CF3hr,gn,20200212,3hrPt,CMIP6.CMIP.AWI.AWI-ESM-1-1-LR.historical.r1i1p1f1.CF3hr.ts.gn.v20200212,atmos,ts
CMIP6,CMIP,AWI,AWI-ESM-1-1-LR,historical,r1i1p1f1,Eday,gn,20200212,day,CMIP6.CMIP.AWI.AWI-ESM-1-1-LR.historical.r1i1p1f1.Eday.ts.gn.v20200212,atmos,ts
