mip_era,activity_id,institution_id,source_id,experiment_id,member_id,table_id,grid_label,version,frequency,instance_id,realm,variable_id
CMIP6,ScenarioMIP,AS-RCEC,TaiESM1,ssp126,r1i1p1f1,3hr,gn,20210323,3hrPt,CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp126.r1i1p1f1.3hr.ps.gn.v20210323,atmos,ps
CMIP6,ScenarioMIP,AS-RCEC,TaiESM1,ssp126,r1i1p1f1,3hr,gn,20211126,3hrPt,CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp126.r1i1p1f1.3hr.ps.gn.v20211126,atmos,ps
CMIP6,ScenarioMIP,AS-RCEC,TaiESM1,ssp126,r1i1p1f1,6hrLev,gn,20210323,6hrPt,CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp126.r1i1p1f1.6hrLev.ps.gn.v20210323,atmos,ps
CMIP6,ScenarioMIP,AS-RCEC,TaiESM1,ssp126,r1i1p1f1,6hrLev,gn,20211126,6hrPt,CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp126.r1i1p1f1.6hrLev.ps.gn.v20211126,atmos,ps
CMIP6,ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp126,r1i1p1f1,3hr,gn,20190529,3hrPt,CMIP6.ScenarioMIP.AWI.AWI-CM-1-1-MR.ssp126.r1i1p1f1.3hr.ps.gn.v20190529,atmos,ps
CMIP6,ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp126,r1i1p1f1,E3hrPt,gn,20190529,3hrPt,CMIP6.ScenarioMIP.AWI.AWI-CM-1-1-MR.ssp126.r1i1p1f1.E3hrPt.ps.gn.v20190529,atmos,ps
CMIP6,ScenarioMIP,BCC,BCC-CSM2-MR,ssp126,r1i1p1f1,3hr,gn,20190315,3hrPt,CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp126.r1i1p1f1.3hr.ps.gn.v20190315,atmos,ps
CMIP6,ScenarioMIP,BCC,BCC-CSM2-MR,ssp126,r1i1p1f1,6hrLev,gn,20190315,6hrPt,CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190315,atmos,ps
CMIP6,ScenarioMIP,CAS,FGOALS-g3,ssp126,r1i1p1f1,3hr,gn,20200929,3hrPt,CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp126.r1i1p1f1.3hr.ps.gn.v20200929,atmos,ps
CMIP6,ScenarioMIP,CAS,FGOALS-g3,ssp126,r1i1p1f1,6hrLev,gn,20200928,6hrPt,CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp126.r1i1p1f1.6hrLev.ps.gn.v20200928,atmos,ps
CMIP6,ScenarioMIP,CAS,FGOALS-g3,ssp126,r2i1p1f1,3hr,gn,20200924,3hrPt,CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp126.r2i1p1f1.3hr.ps.gn.v20200924,atmos,ps
