mip_era,activity_id,institution_id,source_id,experiment_id,member_id,table_id,grid_label,version,frequency,instance_id,realm,variable_id
CMIP6,ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp126,r1i1p1f1,3hr,gn,20181218,3hrPt,CMIP6.ScenarioMIP.AWI.AWI-CM-1-1-MR.ssp126.r1i1p1f1.3hr.tos.gn.v20181218,ocean,tos
CMIP6,ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp126,r1i1p1f1,Oday,gn,20181218,day,CMIP6.ScenarioMIP.AWI.AWI-CM-1-1-MR.ssp126.r1i1p1f1.Oday.tos.gn.v20181218,ocean,tos
CMIP6,ScenarioMIP,BCC,BCC-CSM2-MR,ssp126,r1i1p1f1,3hr,gn,20190322,3hrPt,CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp126.r1i1p1f1.3hr.tos.gn.v20190322,ocean,tos
CMIP6,ScenarioMIP,BCC,BCC-CSM2-MR,ssp126,r1i1p1f1,Oday,gn,20190321,day,CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp126.r1i1p1f1.Oday.tos.gn.v20190321,ocean,tos
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r10i1p1f1,Oday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r10i1p1f1.Oday.tos.gn.v20190429,ocean,tos
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r10i1p2f1,Oday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r10i1p2f1.Oday.tos.gn.v20190429,ocean,tos
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r1i1p1f1,Oday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r1i1p1f1.Oday.tos.gn.v20190429,ocean,tos
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r1i1p2f1,Oday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r1i1p2f1.Oday.tos.gn.v20190429,ocean,tos
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r2i1p1f1,Oday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r2i1p1f1.Oday.tos.gn.v20190429,ocean,tos
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r2i1p2f1,Oday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r2i1p2f1.Oday.tos.gn.v20190429,ocean,tos
