mip_era,activity_id,institution_id,source_id,experiment_id,member_id,table_id,grid_label,version,frequency,instance_id,realm,variable_id
CMIP6,ScenarioMIP,AS-RCEC,TaiESM1,ssp126,r1i1p1f1,3hr,gn,20210323,3hrPt,CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp126.r1i1p1f1.3hr.tas.gn.v20210323,atmos,tas
CMIP6,ScenarioMIP,AS-RCEC,TaiESM1,ssp126,r1i1p1f1,3hr,gn,20211126,3hrPt,CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp126.r1i1p1f1.3hr.tas.gn.v20211126,atmos,tas
CMIP6,ScenarioMIP,AS-RCEC,TaiESM1,ssp126,r1i1p1f1,6hrPlevPt,gn,20210323,6hrPt,CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp126.r1i1p1f1.6hrPlevPt.tas.gn.v20210323,atmos,tas
CMIP6,ScenarioMIP,AS-RCEC,TaiESM1,ssp126,r1i1p1f1,6hrPlevPt,gn,20210323,6hrPt,CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp126.r1i1p1f1.6hrPlevPt.ts.gn.v20210323,atmos,ts
CMIP6,ScenarioMIP,AS-RCEC,TaiESM1,ssp126,r1i1p1f1,6hrPlevPt,gn,20211126,6hrPt,CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp126.r1i1p1f1.6hrPlevPt.tas.gn.v20211126,atmos,tas
CMIP6,ScenarioMIP,AS-RCEC,TaiESM1,ssp126,r1i1p1f1,6hrPlevPt,gn,20211126,6hrPt,CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp126.r1i1p1f1.6hrPlevPt.ts.gn.v20211126,atmos,ts
CMIP6,ScenarioMIP,AS-RCEC,TaiESM1,ssp126,r1i1p1f1,Eday,gn,20210323,day,CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp126.r1i1p1f1.Eday.ts.gn.v20210323,atmos,ts
CMIP6,ScenarioMIP,AS-RCEC,TaiESM1,ssp126,r1i1p1f1,day,gn,20210323,day,CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp126.r1i1p1f1.day.tas.gn.v20210323,atmos,tas
CMIP6,ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp126,r1i1p1f1,3hr,gn,20190529,3hrPt,CMIP6.ScenarioMIP.AWI.AWI-CM-1-1-MR.ssp126.r1i1p1f1.3hr.tas.gn.v20190529,atmos,tas
CMIP6,ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp126,r1i1p1f1,day,gn,20190529,day,CMIP6.ScenarioMIP.AWI.AWI-CM-1-1-MR.ssp126.r1i1p1f1.day.tas.gn.v20190529,atmos,tas
CMIP6,ScenarioMIP,BCC,BCC-CSM2-MR,ssp126,r1i1p1f1,3hr,gn,20190315,3hrPt,CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp126.r1i1p1f1.3hr.tas.gn.v20190315,atmos,tas
CMIP6,ScenarioMIP,BCC,BCC-CSM2-MR,ssp126,r1i1p1f1,day,gn,20190315,day,CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp126.r1i1p1f1.day.tas.gn.v20190315,atmos,tas
CMIP6,ScenarioMIP,CAMS,CAMS-CSM1-0,ssp126,r2i1p1f1,day,gn,20191106,day,CMIP6.ScenarioMIP.CAMS.CAMS-CSM1-0.ssp126.r2i1p1f1.day.tas.gn.v20191106,atmos,tas
CMIP6,ScenarioMIP,CAS,FGOALS-g3,ssp126,r1i1p1f1,3hr,gn,20200929,3hrPt,CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp126.r1i1p1f1.3hr.tas.gn.v20200929,atmos,tas
CMIP6,ScenarioMIP,CAS,FGOALS-g3,ssp126,r1i1p1f1,day,gn,20190818,day,CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp126.r1i1p1f1.day.tas.gn.v20190818,atmos,tas
CMIP6,ScenarioMIP,CAS,FGOALS-g3,ssp126,r1i1p1f1,day,gn,20190819,day,CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp126.r1i1p1f1.day.tas.gn.v20190819,atmos,tas
CMIP6,ScenarioMIP,CAS,FGOALS-g3,ssp126,r1i1p1f1,day,gn,20200928,day,CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp126.r1i1p1f1.day.tas.gn.v20200928,atmos,tas
