mip_era,activity_id,institution_id,source_id,experiment_id,member_id,table_id,grid_label,version,frequency,instance_id,realm,variable_id
CMIP6,ScenarioMIP,AS-RCEC,TaiESM1,ssp370,r1i1p1f1,6hrLev,gn,20211026,6hrPt,CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp370.r1i1p1f1.6hrLev.hus.gn.v20211026,atmos,hus
CMIP6,ScenarioMIP,AS-RCEC,TaiESM1,ssp370,r1i1p1f1,6hrPlevPt,gn,20211026,6hrPt,CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp370.r1i1p1f1.6hrPlevPt.hus.gn.v20211026,atmos,hus
CMIP6,ScenarioMIP,BCC,BCC-CSM2-MR,ssp370,r1i1p1f1,6hrLev,gn,20190326,6hrPt,CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp370.r1i1p1f1.6hrLev.hus.gn.v20190326,atmos,hus
CMIP6,ScenarioMIP,BCC,BCC-CSM2-MR,ssp370,r1i1p1f1,6hrLev,gn,20190327,6hrPt,CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp370.r1i1p1f1.6hrLev.hus.gn.v20190327,atmos,hus
CMIP6,ScenarioMIP,CAS,FGOALS-g3,ssp370,r1i1p1f1,6hrLev,gn,20190820,6hrPt,CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp370.r1i1p1f1.6hrLev.hus.gn.v20190820,atmos,hus
CMIP6,ScenarioMIP,CAS,FGOALS-g3,ssp370,r2i1p1f1,6hrLev,gn,20191213,6hrPt,CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp370.r2i1p1f1.6hrLev.hus.gn.v20191213,atmos,hus
CMIP6,ScenarioMIP,CAS,FGOALS-g3,ssp370,r3i1p1f1,6hrLev,gn,20191213,6hrPt,CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp370.r3i1p1f1.6hrLev.hus.gn.v20191213,atmos,hus
CMIP6,ScenarioMIP,CAS,FGOALS-g3,ssp370,r4i1p1f1,6hrLev,gn,20191213,6hrPt,CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp370.r4i1p1f1.6hrLev.hus.gn.v20191213,atmos,hus
CMIP6,ScenarioMIP,CAS,FGOALS-g3,ssp370,r4i1p1f1,6hrLev,gn,20211028,6hrPt,CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp370.r4i1p1f1.6hrLev.hus.gn.v20211028,atmos,hus
CMIP6,ScenarioMIP,CAS,FGOALS-g3,ssp370,r5i1p1f1,6hrLev,gn,20191213,6hrPt,CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp370.r5i1p1f1.6hrLev.hus.gn.v20191213,atmos,hus
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp370,r1i1p2f1,6hrLev,gn,20190429,6hrPt,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp370.r1i1p2f1.6hrLev.hus.gn.v20190429,atmos,hus
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp370,r2i1p2f1,6hrLev,gn,20190429,6hrPt,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp370.r2i1p2f1.6hrLev.hus.gn.v20190429,atmos,hus
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp370,r3i1p2f1,6hrLev,gn,20190429,6hrPt,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp370.r3i1p2f1.6hrLev.hus.gn.v20190429,atmos,hus
