mip_era,activity_id,institution_id,source_id,experiment_id,member_id,table_id,grid_label,version,frequency,instance_id,realm,variable_id
CMIP6,ScenarioMIP,AS-RCEC,TaiESM1,ssp370,r1i1p1f1,6hrLev,gn,20211026,6hrPt,CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp370.r1i1p1f1.6hrLev.ua.gn.v20211026,atmos,ua
CMIP6,ScenarioMIP,AS-RCEC,TaiESM1,ssp370,r1i1p1f1,6hrPlevPt,gn,20211026,6hrPt,CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp370.r1i1p1f1.6hrPlevPt.ua.gn.v20211026,atmos,ua
CMIP6,ScenarioMIP,BCC,BCC-CSM2-MR,ssp370,r1i1p1f1,6hrLev,gn,20190319,6hrPt,CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp370.r1i1p1f1.6hrLev.ua.gn.v20190319,atmos,ua
CMIP6,ScenarioMIP,BCC,BCC-CSM2-MR,ssp370,r1i1p1f1,6hrLev,gn,20190320,6hrPt,CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp370.r1i1p1f1.6hrLev.ua.gn.v20190320,atmos,ua
CMIP6,ScenarioMIP,BCC,BCC-CSM2-MR,ssp370,r1i1p1f1,6hrPlevPt,gn,20190318,6hrPt,CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp370.r1i1p1f1.6hrPlevPt.ua.gn.v20190318,atmos,ua
CMIP6,ScenarioMIP,CAS,FGOALS-g3,ssp370,r1i1p1f1,6hrLev,gn,20190820,6hrPt,CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp370.r1i1p1f1.6hrLev.ua.gn.v20190820,atmos,ua
CMIP6,ScenarioMIP,CAS,FGOALS-g3,ssp370,r1i1p1f1,6hrLev,gn,20190821,6hrPt,CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp370.r1i1p1f1.6hrLev.ua.gn.v20190821,atmos,ua
CMIP6,ScenarioMIP,CAS,FGOALS-g3,ssp370,r2i1p1f1,6hrLev,gn,20191213,6hrPt,CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp370.r2i1p1f1.6hrLev.ua.gn.v20191213,atmos,ua
CMIP6,ScenarioMIP,CAS,FGOALS-g3,ssp370,r3i1p1f1,6hrLev,gn,20191213,6hrPt,CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp370.r3i1p1f1.6hrLev.ua.gn.v20191213,atmos,ua
CMIP6,ScenarioMIP,CAS,FGOALS-g3,ssp370,r4i1p1f1,6hrLev,gn,20191213,6hrPt,CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp370.r4i1p1f1.6hrLev.ua.gn.v20191213,atmos,ua
